ID;Precio;Barrio;Ciudad;Mapa ubicacion;Latitud;Longitud;Ambientes;Metros²;Tipo_propiedad;Amoblado;Antigüedad;Baños;Cochera;Mascotas_permitidas;Expensas_incluidas;Fecha_publicacion;Fecha_relevamiento;Fuentes;Id_publicacion
1;400.000,00;centro;rio grande;como llegar;-53,786938;-67,708307;2;85;departamento;no;28;1;no;NaN;no;27-04-2026;16-05-2026;Mercado Libre;slc1871
2;550.000,00;camionero;rio grande;como llegar;-53,784657;-67,724129;3;70;loft;no;20;1;si;si;no;27-04-2026;16-05-2026;Mercado Libre;slc1872
3;600.000,00;mutual;rio grande;como llegar;-53,771053;-67,710684;3;56;duplex;semi;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1873
4;750.000,00;cgt;rio grande;como llegar;-53,75951;-67,727405;3;60;casa;no;NaN;1;si;si;NaN;08/05/2026;16-05-2026;Argenprop;slc1874
5;480.000,00;chacra XIII;rio grande;como llegar;-53,800836;-67,753992;4;67;departamento;no;14;1;si;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1875
6;500.000,00;centro;rio grande;como llegar;-32,802409;-70,906997;2;30;departamento;no;a estrenar;1;no;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1876
7;750.000,00;centro;rio grande;como llegar;-53,781672;-67,694712;3;54;departamento;si;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1877
8;700.000,00;mutual;rio grande;como llegar;-53,770672;-67,713129;3;100;duplex;no;NaN;1;no;NaN;si;08/05/2026;16-05-2026;Argenprop;slc1878
9;500.000,00;cgt;rio grande;como llegar;-53,774095;-67,728926;2;40;departamento;no;NaN;1;no;no  ;NaN;08/05/2026;16-05-2026;Argenprop;slc1879
10;480.000,00;chacra IV;rio grande;como llegar;-53,774314;-67,728872;2;50;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1880
11;750.000,00;chacra XIII;rio grande;como llegar;-53,799821;-67,756489;4;67;departamento;no;NaN;1;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1881
12;450.000,00;danes;rio grande;como llegar;-53,792378;-67,723764;2;45;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1882
13;400.000,00;intevu;rio grande;como llegar;-53,790895;-67,722465;2;45;departamento;no;NaN;1;no;no;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1883
14;1.400.000,00;centro;rio grande;como llegar;-53,756865;-67,726086;2;190;casa;no;NaN;1;no;no;no;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1884
15;450.000,00;chacra XIII;rio grande;como llegar;-53,801155;-67,759848;2;55;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1885
16;600.000,00;chacra II;rio grande;como llegar;-53,765856;-67,723841;4;53;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1886
17;750.000,00;centro;rio grande;como llegar;-53,791059;-67,691998;3;80;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1887
18;700.000,00;buena vista;rio grande;como llegar;-53,772582;-67,721139;3;60;departamento;no;NaN;1;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1888
19;450.000,00;chacra XIII;rio grande;como llegar;-53,799418;-67,751896;2;60;departamento;semi;NaN;1;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1889
20;1.500.000,00;agp;rio grande;como llegar;-53,796997;-67,683927;6;240;casa;no;NaN;3;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1890
21;700.000,00;chacra rafull;rio grande;como llegar;-53,780077;-67,718139;4;70;departamento;no;NaN;1;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1891
22;650.000,00;san martin;rio grande;como llegar;-53,789218;-67,734241;4;45;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1892
23;2.400.000,00;barrancas;rio grande;como llegar;-53,751535;-67,734949;8;190;casa;si;NaN;3;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1893
24;770.000,00;centro;rio grande;como llegar;-53,785055;-67,697889;2;50;departamento;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1894
25;600.000,00;chacra IV;rio grande;como llegar;-53,771072;-67,736591;3;NaN;casa;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soliciones Inmob.;slc1895
26;400.000,00;aeropuerto;rio grande;como llegar;-53,789634;-67,751039;1;20;departamento;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1896
27;600.000,00;danes;rio grande;como llegar;-53,784901;-67,715218;3;NaN;departamento;semi;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1897
28;450.000,00;uom margen sur;rio grande;como llegar;-53,811352;-67,679979;2;30;departamento;no;a estrenar;1;si;no;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1898
29;280.000,00;parque industrial;rio grande;como llegar;-53,795998;-67,717963;1;NaN;departamento;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1899
30;790.000,00;chacra II;rio grande;como llegar;-53,768509;-67,718258;3;NaN;casa;no;NaN;1;si;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1900
31;550.000,00;chacra II;rio grande;como llegar;-53,764579;-67,717703;3;NaN;departamento;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1901
32;400.000,00;chacra IV;rio grande;como llegar;-53,772965;-67,736876;2;NaN;departamento;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1902
33;900.000,00;centro;rio grande;como llegar;-53,782725;-67,697143;3;70;departamento;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1903
34;1.950.000,00;mutual;rio grande;como llegar;-53,771888;-67,705285;9;NaN;casa;no;NaN;3;si;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1904
35;1.700.000,00;chacra IV;rio grande;como llegar;-53,772974;-67,731593;6;180;casa;no;NaN;2;si;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1905
36;880.000,00;centro;rio grande;como llegar;-53,789931;-67,705369;4;NaN;casa;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1906
37;350.000,00;vapor amadeo;rio grande;como llegar;-53,794823;-67,782109;1;20;monoambiente;no;a estrenar;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1907
38;450.000,00;aeropuerto;rio grande;como llegar;-53,789058;-67,753533;4;105;casa;no;NaN;1;no;NaN;NaN;23/05/2026;17-05-2026;argenprop;slc1908
39;750.000,00;aeropuerto;rio grande;como llegar;-53,788145;-67,751928;5;95;casa;no;NaN;2;si;NaN;NaN;23/05/2026;31-05-2026;Inmobiliaria TDF;slc1909
40;600.000,00;cgt;rio grande;como llegar;-53,762478;-67,730151;5;67;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Inmobiliaria TDF;slc1910
41;500.000,00;centro;rio grande;como llegar;-53,788587;-67,713385;2;35;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1911
42;490.000,00;san martin;rio grande;como llegar;-53,787951;-67,729965;2;NaN;departamento;no;NaN;1;no;si;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1912
43;820.000,00;mutual;rio grande;como llegar;-53,773076;-67,706724;3;NaN;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1913
44;510.000,00;buena vista;rio grande;como llegar;-53,773092;-67,718073;3;NaN;departamento;no;NaN;1;no;si;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1914
45;430.000,00;austral;rio grande;como llegar;-53,801797;-67,662919;2;NaN;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1915
46;620.000,00;cgt;rio grande;como llegar;-53,765557;-67,731807;3;NaN;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1916
47;440.000,00;camionero;rio grande;como llegar;-53,784069;-67,722821;3;NaN;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1917
48;750.000,00;chacra XI ;rio grande;como llegar;-53,787737;-67,771412;2;40;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Solucione Inmob.;slc1918
49;750.000,00;parque industrial;rio grande;como llegar;-53,795827;-67,719679;6;NaN;casa;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1919
50;490.000,00;cgt;rio grande;como llegar;-53,764921;-67,730727;2;NaN;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1920
51;920.000,00;mutual;rio grande;como llegar;-53,773512;-67,714424;3;NaN;duplex;no;NaN;1;si;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1921
52;400.000,00;centro;rio grande;como llegar;-53,793593;-67,701241;1;NaN;monoambiente;no;NaN;1;no;no;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1922
53;380.000,00;austral;rio grande;como llegar;-53,805416;-67,673929;3;NaN;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1923
54;1.200.00,00;mutual;rio grande;como llegar;-53,766945;-67,714493;4;NaN;casa;no;NaN;2;no;NaN;NaN;02-04-2026;31-05-2026;Soluciones Inmob.;slc1924
55;2.400.000,00;las barrancas;rio grande;como llegar;-53,758105;-67,726599;7;NaN;casa;si;NaN;3;si;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1925
56;790.000,00;mutual;rio grande;como llegar;-53,772469;-67,710788;3;NaN;departamento;no;NaN;2;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1926
57;600.000,00;danes;rio grande;como llegar;-53,785142;-67,715057;3;NaN;departamento;semi;NaN;1;no;NaN;NaN;23/05/2026;31-05-2026;Soluciones Inmob.;slc1927
58;520.000,00;chacra XI;rio grande;como llegar;-53,791411;-67,711082;2;45;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1928
59;680.000,00;chacra IV;rio grande;como llegar;-53,786497;-67,706634;3;75;departamento;no;NaN;1;sí;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1929
60;480.000,00;buena vista;rio grande;como llegar;-53,774622;-67,723618;2;40;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1930
61;800.000,00;centro;rio grande;como llegar;-53,782944;-67,710486;4;95;casa;no;NaN;2;sí;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1931
62;390.000,00;vapor amadeo;rio grande;como llegar;-53,807419;-67,779917;1;25;monoambiente;no;a estrenar;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1932
63;950.000,00;mutual;rio grande;como llegar;-53,789062;-67,707071;3;85;dúplex;no;NaN;2;sí;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1933
64;470.000,00;chacra XIII;rio grande;como llegar;-53,801766;-67,758179;2;50;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1934
65;1.200.000.00;las barrancas;rio grande;como llegar;-53,758149;-67,724837;5;150;casa;sí;NaN;3;sí;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1935
66;430.000,00;aeropuerto;rio grande;como llegar;-53,788189;-67,748817;2;35;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1936
67;780.000,00;centro;rio grande;como llegar;-53,786963;-67,696197;3;70;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1937
68;560.000,00;chacra II;rio grande;como llegar;-53,782452;-67,711181;3;65;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1938
69;720.000,00;chacra IV;rio grande;como llegar;-53,784741;-67,709719;4;80;casa;no;NaN;2;sí;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1939
70;480.000,00;buena vista;rio grande;como llegar;-53,773044;-67,727492;2;42;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1940
71;890.000,00;centro;rio grande;como llegar;-53,789496;-67,699177;3;75;dúplex;no;NaN;2;sí;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1941
72;410.000,00;chacra XIII;rio grande;como llegar;-53,801159;-67,752399;2;38;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1942
73;1.050.000,00;barrancas;rio grande;como llegar;-53,757566;-67,725416;5;160;casa;sí;NaN;3;sí;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1943
74;460.000,00;aeropuerto;rio grande;como llegar;-53,788344;-67,749675;2;36;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1944
75;780.000,00;mutual;rio grande;como llegar;-53,771838;-67,709451;3;72;departamento;no;NaN;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1945
76;920.000,00;chacra XI;rio grande;como llegar;-53,796141;-67,717124;4;90;casa;no;NaN;2;sí;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1946
77;500.000,00;vapor amadeo;rio grande;como llegar;-53,807551;-67,779997;2;40;departamento;no;a estrenar;1;no;NaN;NaN;23/05/2026;01/06/2026;Soluciones Inmob.;slc1947
78;620.000,00;centro;rio grande;como llegar;-53,779921;-67,713398;2;55;Departamento;No;NaN;1;No;NaN;NaN;01/06/2026;01/06/2026;Soluciones Inmob.;slc1948
79;710.000,00;centro;rio grande;como llegar;-53,782944;-67,710486;3;70;Departamento;No;NaN;1;Sí;NaN;NaN;01/06/2026;01/06/2026;Soluciones Inmob.;slc1949
80;880.000,00;centro;rio grande;como llegar;-53,785072;-67,709396;4;85;Casa;No;NaN;2;Sí;NaN;NaN;01/06/2026;01/06/2026;Soluciones Inmob.;slc1950
81;470.000,00;mutual;rio grande;como llegar;-53,774051;-67,708024;2;45;Departamento;No;NaN;1;No;NaN;NaN;01/06/2026;01/06/2026;Soluciones Inmob.;slc1951
